# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of NAND4 T0 W1
C Cin__VSS__hl__ACQ_1 of NAND4 T1 W1
C Cin__VSS__lh__ACQ_1 of NAND4 T2 W1
C delay__A__hl__OUT__lh__ACQ_1 of NAND4 T3 W1
C delay__A__lh__OUT__hl__ACQ_1 of NAND4 T4 W1
C delay__B__hl__OUT__lh__ACQ_1 of NAND4 T5 W1
C delay__B__lh__OUT__hl__ACQ_1 of NAND4 T6 W1
C delay__C__hl__OUT__lh__ACQ_1 of NAND4 T7 W1
C delay__C__lh__OUT__hl__ACQ_1 of NAND4 T8 W1
C delay__D__hl__OUT__lh__ACQ_1 of NAND4 T9 W1
C delay__D__lh__OUT__hl__ACQ_1 of NAND4 T10 W1
C Cin__VDD__hl__ACQ_1 of NAND4 T11 W1
C Cin__VDD__lh__ACQ_1 of NAND4 T12 W1
